Frequency[Hz],Impedance[ohm],
98761.62597834493,0.0071557628618236484,
103284.13330077511,0.006822713535362542,
108013.73596290655,0.006503446576053441,
112959.91730587467,0.006197337614407062,
118132.59493340722,0.005903791224431424,
123542.14059764279,0.005622240174377586,
129199.40099556338,0.005352144818484292,
135115.71951774065,0.005092992646242349,
141302.95899300394,0.0048442980101004885,
147773.52547463533,0.00460560205797529,
154540.39311578672,0.004376472903660459,
161617.13018399404,0.004156506076556422,
169017.92626695373,0.0039453253024076705,
176757.6207241092,0.003742583679325252,
184851.7324410973,0.003547965328662552,
193316.49094671433,0.0033611876185963203,
202168.86895479533,0.0031820040795836105,
211426.61639625567,0.0030102081547053773,
221108.2960095334,0.002845637952648265,
231233.3205607941,0.002688182193034317,
241821.99176852946,0.0025377875456313362,
252895.54101059664,0.0023944675530664728,
