Freq	Chan A	Chan B
120000,00000000 	 0,60514992 	 -154,58253479
123000,00000000 	 0,60419011 	 -154,88264465
126000,00000000 	 0,60454869 	 -155,04106140
129000,00000000 	 0,60243654 	 -155,36280823
132000,00000000 	 0,60108209 	 -155,69523621
135000,00000000 	 0,60086405 	 -155,66954041
138000,00000000 	 0,60003525 	 -155,78799438
141000,00000000 	 0,59832132 	 -156,18560791
145000,00000000 	 0,59870946 	 -156,20616150
148000,00000000 	 0,59790587 	 -156,33926392
151000,00000000 	 0,59701258 	 -156,62786865
155000,00000000 	 0,59668261 	 -156,62002563
158000,00000000 	 0,59576702 	 -156,79910278
162000,00000000 	 0,59549069 	 -156,73959351
166000,00000000 	 0,59535062 	 -156,93048096
170000,00000000 	 0,59545410 	 -156,87530518
174000,00000000 	 0,59546238 	 -156,87799072
178000,00000000 	 0,59501362 	 -156,95640564
182000,00000000 	 0,59481412 	 -157,11755371
186000,00000000 	 0,59425151 	 -157,11776733
191000,00000000 	 0,59558195 	 -156,85977173
195000,00000000 	 0,59585094 	 -156,95458984
200000,00000000 	 0,59537572 	 -156,81869507
204000,00000000 	 0,59875953 	 -156,56445312
209000,00000000 	 0,59663123 	 -156,86117554
214000,00000000 	 0,59756213 	 -156,58372498
219000,00000000 	 0,59781468 	 -156,39208984
224000,00000000 	 0,59832102 	 -156,27868652
229000,00000000 	 0,59929132 	 -156,00041199
234000,00000000 	 0,60022241 	 -155,98529053
240000,00000000 	 0,60170984 	 -155,71101379
245000,00000000 	 0,60244453 	 -155,44223022
251000,00000000 	 0,60294008 	 -155,18969727
257000,00000000 	 0,60419643 	 -154,98492432
263000,00000000 	 0,60643595 	 -154,64646912
269000,00000000 	 0,60728371 	 -154,32489014
275000,00000000 	 0,60866255 	 -154,01159668
282000,00000000 	 0,61211812 	 -153,61721802
288000,00000000 	 0,61322206 	 -153,36758423
295000,00000000 	 0,61486536 	 -153,08354187
302000,00000000 	 0,61688781 	 -152,67649841
309000,00000000 	 0,61908221 	 -152,17807007
316000,00000000 	 0,62196070 	 -151,65876770
324000,00000000 	 0,62523645 	 -151,18997192
331000,00000000 	 0,62700027 	 -150,78533936
339000,00000000 	 0,63084781 	 -150,03579712
